date,mean_temp_c,max_temp_c,min_temp_c,mean_relative_humidity_pct,min_relative_humidity_pct,mean_wind_speed_mps,mean_thi_reference,thi_risk_band_reference,source_kind,source_id
2024-08-01,29.0,33.2,26.2,70,51,3.3,79.88,moderate,official_observation,jma_chiba_2024_aug_daily
2024-08-02,28.5,32.9,25.7,75,56,2.8,79.82,moderate,official_observation,jma_chiba_2024_aug_daily
2024-08-03,29.0,34.5,25.9,70,51,2.9,79.88,moderate,official_observation,jma_chiba_2024_aug_daily
2024-08-04,29.5,35.6,25.8,68,46,3.1,80.33,high,official_observation,jma_chiba_2024_aug_daily
2024-08-05,29.7,34.4,26.0,70,53,2.8,80.93,high,official_observation,jma_chiba_2024_aug_daily
2024-08-06,29.8,34.6,27.1,74,50,2.9,81.69,high,official_observation,jma_chiba_2024_aug_daily
2024-08-07,29.2,33.2,27.2,82,61,3.1,81.93,high,official_observation,jma_chiba_2024_aug_daily
2024-08-08,29.0,33.2,26.4,82,60,2.5,81.61,high,official_observation,jma_chiba_2024_aug_daily
2024-08-09,30.0,34.9,27.0,75,53,3.2,82.15,high,official_observation,jma_chiba_2024_aug_daily
2024-08-10,29.7,34.3,27.3,68,53,3.1,80.63,high,official_observation,jma_chiba_2024_aug_daily
2024-08-11,30.9,35.1,27.6,70,51,3.8,82.73,high,official_observation,jma_chiba_2024_aug_daily
2024-08-12,31.3,35.2,28.9,71,51,5.5,83.5,high,official_observation,jma_chiba_2024_aug_daily
2024-08-13,30.7,34.1,28.2,76,57,4.0,83.4,high,official_observation,jma_chiba_2024_aug_daily
2024-08-14,30.4,34.2,27.7,75,53,3.1,82.77,high,official_observation,jma_chiba_2024_aug_daily
2024-08-15,30.3,34.4,27.6,76,57,3.4,82.77,high,official_observation,jma_chiba_2024_aug_daily
2024-08-16,27.6,29.0,25.9,91,85,6.1,80.51,high,official_observation,jma_chiba_2024_aug_daily
2024-08-17,30.3,36.3,26.2,74,48,4.3,82.46,high,official_observation,jma_chiba_2024_aug_daily
2024-08-18,29.2,33.3,26.7,83,66,3.0,82.08,high,official_observation,jma_chiba_2024_aug_daily
2024-08-19,30.0,34.3,26.1,80,62,3.4,82.92,high,official_observation,jma_chiba_2024_aug_daily
2024-08-20,29.1,33.5,26.0,76,50,3.6,80.9,high,official_observation,jma_chiba_2024_aug_daily
2024-08-21,28.8,33.5,26.3,78,57,3.0,80.71,high,official_observation,jma_chiba_2024_aug_daily
2024-08-22,27.6,30.6,26.0,86,72,4.2,79.86,moderate,official_observation,jma_chiba_2024_aug_daily
2024-08-23,28.8,32.2,26.5,79,66,4.8,80.86,high,official_observation,jma_chiba_2024_aug_daily
2024-08-24,30.0,33.5,27.4,75,66,4.9,82.15,high,official_observation,jma_chiba_2024_aug_daily
2024-08-25,29.5,33.7,27.2,76,56,4.7,81.52,high,official_observation,jma_chiba_2024_aug_daily
2024-08-26,28.8,31.9,25.9,78,59,4.0,80.71,high,official_observation,jma_chiba_2024_aug_daily
2024-08-27,28.8,33.0,25.0,78,58,6.1,80.71,high,official_observation,jma_chiba_2024_aug_daily
2024-08-28,28.0,30.9,26.1,81,63,3.9,79.85,moderate,official_observation,jma_chiba_2024_aug_daily
2024-08-29,28.1,32.4,25.8,82,58,4.0,80.15,high,official_observation,jma_chiba_2024_aug_daily
2024-08-30,27.4,30.5,25.5,91,74,4.9,80.17,high,official_observation,jma_chiba_2024_aug_daily
2024-08-31,27.7,29.6,25.0,90,78,4.7,80.55,high,official_observation,jma_chiba_2024_aug_daily
