date,station_name_ja,prec_no,block_no,mean_temperature_c,max_temperature_c,min_temperature_c,mean_vapor_pressure_hpa,mean_relative_humidity_pct,min_relative_humidity_pct,thi_daily_mean,temperature_quality_mark,humidity_quality_mark,source_kind,source_url
2020-01-01,千葉,45,47682,6.2,9.7,3.3,3.9,41.0,26.0,47.98,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-02,千葉,45,47682,7.0,10.6,2.3,4.9,50.0,34.0,48.28,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-03,千葉,45,47682,7.4,11.9,2.3,5.9,57.0,42.0,48.32,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-04,千葉,45,47682,7.3,11.3,3.6,5.0,51.0,27.0,48.61,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-05,千葉,45,47682,6.0,10.5,2.4,4.6,51.0,26.0,46.9,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-06,千葉,45,47682,7.5,12.5,2.4,4.2,41.0,26.0,49.56,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-07,千葉,45,47682,6.4,9.0,4.4,6.2,65.0,46.0,46.31,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-08,千葉,45,47682,5.9,8.5,4.4,8.5,92.0,82.0,43.3,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-09,千葉,45,47682,11.5,15.1,7.4,5.4,42.0,23.0,54.39,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-10,千葉,45,47682,8.2,11.9,5.9,5.9,55.0,41.0,49.54,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-11,千葉,45,47682,7.3,11.2,5.1,6.1,60.0,49.0,47.97,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-12,千葉,45,47682,6.8,9.3,3.5,6.7,68.0,52.0,46.66,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-13,千葉,45,47682,8.5,12.4,4.0,7.2,66.0,33.0,49.3,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-14,千葉,45,47682,9.1,13.4,4.7,7.6,66.0,45.0,50.18,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
2020-01-15,千葉,45,47682,7.8,9.3,6.2,8.1,77.0,47.0,47.55,,,official_observation,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=45&block_no=47682&year=2020&month=1&day=&view=a2
